unit_id,student_id,hw_title,hw_submitted,hw_grade
211085,1,0: Data Prework,TRUE,A+
212070,1,Intro to Career Services: Employer-Ready vs Employer-Competitive,TRUE,A+
213030,1,1. Excel Homework,TRUE,A+
214096,1,2. Visual Basic Homework,TRUE,A+
215023,1,3. Python Homework,TRUE,A+
216022,1,4. Pandas Homework,TRUE,A+
217066,1,5. Matplotlib Homework,TRUE,A+
218097,1,Milestone: Pave Your Pathway,TRUE,A+
219089,1,6. Python APIs Homework,TRUE,A+
220002,1,Project 1,TRUE,A+
221064,1,10. SQLAlchemy Homework,TRUE,A+
222074,1,9. SQL Homework,TRUE,A+
223013,1,Milestone: Develop Your Resume,TRUE,A+
224064,1,11. HTML and CSS Homework,TRUE,A+
225090,1,12. Web Scraping and Mongo Homework,TRUE,A+
226020,1,Project 2,TRUE,A+
228067,1,14. Plot.ly Homework,TRUE,A+
230002,1,15. Geo-mapping Homework,TRUE,A+
231056,1,Milestone: Polish Your Online Presence,TRUE,A+
232095,1,Project 3,TRUE,A+
233014,1,Milestone: Employer-Ready,TRUE,A+
234086,1,18. Tableau Homework,TRUE,A+
235060,1,19. Supervised Learning Homework,TRUE,A+
236074,1,22. Big Data Homework,TRUE,A+
237066,1,Milestone: Employer-Competitive,TRUE,A+
238036,1,Project 4,TRUE,A+
239039,1,20. Unsupervised Learning Homework,TRUE,A+
240031,1,21. Deep Learning Homework,TRUE,A+
211085,2,0: Data Prework,TRUE,A+
212070,2,Intro to Career Services: Employer-Ready vs Employer-Competitive,TRUE,A+
213030,2,1. Excel Homework,TRUE,A+
214096,2,2. Visual Basic Homework,TRUE,A+
215023,2,3. Python Homework,TRUE,A+
216022,2,4. Pandas Homework,TRUE,A+
217066,2,5. Matplotlib Homework,TRUE,A+
218097,2,Milestone: Pave Your Pathway,TRUE,A+
219089,2,6. Python APIs Homework,TRUE,A+
220002,2,Project 1,TRUE,A+
221064,2,10. SQLAlchemy Homework,TRUE,A+
222074,2,9. SQL Homework,TRUE,A+
223013,2,Milestone: Develop Your Resume,TRUE,A+
224064,2,11. HTML and CSS Homework,TRUE,A+
225090,2,12. Web Scraping and Mongo Homework,TRUE,A+
226020,2,Project 2,TRUE,A+
