cohort_id,session_id,session_name,unit_id,session_number,session_chapter,session_start,zoom_url
3,2671305,Zen of Data,1,1,1.1,3/2/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe01
3,2671307,Data Fundamentals in Excel,1,2,1.2,3/4/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe02
3,2671301,Charting a New Course With Excel,1,3,1.3,3/5/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe03
3,2671303,Fundamentals of Programming Using Visual Basic: Day 1,2,1,2.1,3/9/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe04
3,2671297,Fundamentals of Programming Using Visual Basic: Day 2,2,2,2.2,3/11/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe05
3,2671299,Scripting Practice in VBA,2,3,2.3,3/12/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe06
3,2671293,Let's Begin Python,3,1,3.1,3/15/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe07
3,2671295,"Reading, Writing, and Pyrithmetic",3,2,3.2,3/17/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe08
3,2671321,Python Deeper Dive,3,3,3.3,3/19/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe09
3,2671323,Introduction to Pandas & Jupyter,4,1,4.1,3/22/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe10
3,2671317,Exploring Pandas,4,2,4.2,3/24/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe11
3,2671319,Merging and Data Clean Project,4,3,4.3,3/26/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe12
3,2671313,Introduction to Matplotlib,5,1,5.1,3/29/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe13
3,2671315,Plotting With Pandas,5,2,5.2,3/31/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe14
3,2671309,Introduction to Statistics,5,3,5.3,4/2/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe15
3,2671311,APIs,6,1,6.1,4/5/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe16
3,2671284,Working with Weather & City APIs,6,2,6.2,4/7/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe17
3,2671286,APIs and Geospatial Data Visualization,6,3,6.3,4/9/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe18
3,2671280,Project 1 & Collaboration with Git,7,1,7.1,4/12/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe19
3,2671282,Project 1 & Pulling and Merging with Git,7,2,7.2,4/14/2022,
3,2671277,Project 1 & Hypothesis Testing and Statistical Tests,7,3,7.3,4/16/2022,
3,2671279,Project 1 & Install PostgreSQL and pgAdmin,8,1,8.1,4/19/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe22
3,2671275,Project 1 Work Day,8,2,8.2,4/21/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe23
3,2671276,Project 1 Presentations,8,3,8.3,4/23/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe24
3,2671273,Introduction to SQL,9,1,9.1,4/26/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe25
3,2671274,Advanced SQL Queries,9,2,9.2,4/28/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe26
3,2671271,Data Modeling,9,3,9.3,4/30/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe27
3,2671272,Introduction to SQLAlchemy,10,1,10.1,5/3/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe28
3,2671264,Advanced Usage of the SQLAlchemy ORM,10,2,10.2,5/5/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe29
3,2671265,Introduction to Flask & Serving Data with APIs,10,3,10.3,5/7/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe30
3,2671262,Introduction to HTML,11,1,11.1,5/10/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe31
3,2671263,Introduction to GitHub Pages and CSS,11,2,11.2,5/12/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe32
3,2671270,Bootstrap,11,3,11.3,5/14/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe33
3,2671268,Mastering MongoDB,12,1,12.1,5/17/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe34
3,2671269,Web Scraping,12,2,12.2,5/19/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe35
3,2671266,Rendering Your Data With Flask,12,3,12.3,5/21/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe36
3,2671267,"Project 2 & A Case Study of Extract, Transform, Load",13,1,13.1,5/24/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe37
3,2671306,Project 2 Work Day 1,13,2,13.2,5/26/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe38
3,2671308,Project 2 Work Day 2,13,3,13.3,5/31/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe39
3,2671302,Intro to JavaScript and Plotly,14,1,14.1,6/2/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe40
3,2671304,Functional Programming for Data Processing in JavaScript,14,2,14.2,6/4/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe41
3,2671298,AJAX and Event Handling with D3,14,3,14.3,6/7/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe42
3,2671300,Data Visualization with Leaflet,15,1,15.1,6/9/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe43
3,2671294,GeoJSON and Leaflet Plugins,15,2,15.2,6/11/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe44
3,2671296,Citi Bike Project with Leaflet and Intro to Projects,15,3,15.3,6/14/2022,https://zoom.us/rec/share/mu17gMzpQnEpq7WOl4CSe45
3,2671322,Project 3 & R We There Yet,16,1,16.1,6/16/2022,
3,2671324,Project 3 & Tibbles R Terrific,16,2,16.2,6/18/2022,
3,2671318,Project 3 Work Day 1,16,3,16.3,6/21/2022,
3,2671320,Project 3 Work Day 2,17,1,17.1,6/23/2022,
3,2671314,Project 3 Work Day 3,17,2,17.2,6/25/2022,
3,2671316,Project 3 Presentations,17,3,17.3,6/28/2022,
3,2671310,Introduction to Tableau,18,1,18.1,6/30/2022,
3,2671312,Deeper into Tableau,18,2,18.2,7/5/2022,
3,2671285,Tableau Mini Projects,18,3,18.3,7/7/2022,
3,2671287,Intro to Supervised Learning,19,1,19.1,7/9/2022,
3,2671281,Classification Models,19,2,19.2,7/12/2022,
3,2671283,Ensemble Methods and Regressions,19,3,19.3,7/14/2022,
3,2671278,Introduction to Unsupervised Learning,20,1,20.1,7/16/2022,
3,2671292,Diving Deeper into Unsupervised Learning,20,2,20.2,7/19/2022,
3,2671290,Introduction to Advanced Machine Learning,21,1,21.1,7/21/2022,
