student_id,person_id,cohort_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,20,1
20,21,1
21,22,1
22,23,1
23,24,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,31,2
30,32,2
31,33,2
32,34,2
33,35,2
34,36,2
35,37,2
36,38,2
37,39,2
38,40,2
39,41,2
40,42,2
41,43,2
42,44,2
43,45,2
44,46,2
45,47,2
46,48,2
47,49,2
48,50,2
49,51,2
50,52,2
51,54,2
52,55,2
53,56,3
54,57,3
55,58,3
56,59,3
57,60,3
58,61,3
59,62,3
60,63,3
61,64,3
62,65,3
63,66,3
64,67,3
65,68,3
66,69,3
67,70,3
68,71,3
69,72,3
70,73,3
71,74,3
72,75,3
73,76,3
74,77,3
75,78,3
76,79,3
77,80,3
78,82,3
79,83,3
80,84,3
81,85,3
82,86,3
83,87,3
84,89,3
85,90,3
86,91,3
87,34,3
88,3,3
89,23,3
90,42,3
